Column1,1,2,3,4,5,6,7,8,9,10,Overall
ski098,61.25%,58.70%,56.31%,57.19%,61.47%,60.91%,56.74%,57.54%,58.87%,55.63%,59.68%
Threeway,55.74%,60.70%,53.74%,57.07%,64.75%,60.40%,53.81%,58.42%,57.06%,53.45%,58.80%
VFib,60.61%,58.10%,63.09%,54.47%,60.54%,59.43%,60.65%,57.44%,59.94%,54.68%,58.67%
hitman_ma2,71.43%,60.93%,52.29%,61.20%,58.97%,58.45%,57.51%,58.46%,58.42%,57.02%,58.18%
KruggWulf,57.31%,57.33%,56.53%,49.53%,54.37%,55.39%,55.48%,58.75%,61.44%,60.03%,57.88%
ScoutCub,56.07%,61.69%,59.31%,55.35%,61.83%,57.51%,58.39%,56.57%,55.88%,54.63%,57.76%
MassiveHyperion,59.21%,55.71%,57.31%,50.80%,56.53%,59.02%,57.72%,56.11%,59.06%,57.56%,57.45%
Weazel2k2,62.50%,60%,59.39%,51.47%,58.43%,58.22%,56.85%,57.19%,55%,55.13%,57.22%
OranjeBeered,58%,58.76%,47.75%,57.22%,57.71%,57%,56.04%,55.82%,57.03%,52.99%,57.16%
TheRedBaron,66.67%,53.61%,41.03%,56.32%,48.54%,55.39%,56.12%,56.24%,57.58%,57.82%,56.83%
toshiomagic,60.23%,53.65%,55.58%,56.53%,52.68%,55.90%,55.97%,56.26%,57.30%,58.10%,56.76%
bflinstead,57.14%,55.40%,57.02%,51.45%,55.19%,58.14%,57.33%,56.56%,57.42%,56.73%,56.70%
Omaha_Sizzle,56.41%,59.38%,60.08%,55.08%,54.91%,57.67%,57.12%,56.12%,53.48%,51.57%,56.33%
OfficiallyUnofficial,48.57%,51.32%,52.78%,56.06%,55.47%,57.12%,52.33%,56.77%,59.64%,58.05%,56.28%
vanionbb,58.30%,57.16%,55.42%,55.92%,57.02%,56.18%,53.32%,56.81%,55.94%,51.87%,56.04%
ManiacalRodent,56.34%,52.29%,52.49%,52.52%,54.81%,55.63%,56.94%,57.29%,57.51%,56.07%,55.85%
Sollus,61.54%,70.83%,59.84%,55.85%,56.77%,56.35%,54.17%,55.30%,55.83%,51.97%,55.81%
BoilerBandsman,60.55%,52.12%,55.31%,50.89%,51.67%,56.64%,55.38%,55.58%,54.45%,58.12%,55.57%
Liggiedanoob,50%,50.25%,50.94%,52%,55.77%,55.53%,55.91%,56.59%,54.52%,56.73%,55.49%
BlueGuy90,52.11%,54.22%,56.29%,55.86%,56.76%,54.13%,56.26%,52.86%,51.22%,51.74%,54.77%
Ded_man,46.15%,54.94%,53.93%,54.69%,53.66%,54.74%,54.70%,55.23%,54.27%,53.04%,54.76%
WarHeads_On_ForeHeads,56.03%,49.25%,49.02%,52.22%,53.03%,52.38%,55.54%,56.03%,57.23%,53.26%,54.73%
snake6122,58.62%,46.34%,55.42%,50.69%,51.44%,57.12%,58.13%,53.85%,56.06%,52.47%,54.70%
dead_squid,62%,57.07%,58.37%,56.79%,56.87%,55.22%,53.23%,53.78%,54.09%,54.53%,54.64%
Wildfrogman,57.38%,48.29%,54.05%,52.55%,54.55%,53.28%,54.86%,55.21%,54.38%,52.87%,54.64%
Forged,54.14%,55.11%,56.24%,57.42%,53.48%,57.35%,53.92%,54.01%,54.39%,53.52%,54.44%
ObiWanCanoli,42.16%,46.46%,47.96%,53.23%,54.46%,55.97%,58.05%,54.75%,55.14%,47.73%,54.32%
Fox_Paws,45.45%,53.28%,56.45%,47.77%,52.17%,57.64%,54.48%,54.95%,51.83%,46.03%,54.31%
kfmonk,56.91%,48.65%,53.19%,52.10%,53.93%,55.90%,54.06%,54.82%,53.98%,47.94%,54.29%
tigerragrob,83.33%,53.85%,58.65%,56.40%,58.19%,55.87%,55.26%,51.74%,55.36%,49.67%,54.14%
narbisston,49.06%,47.10%,53.42%,54%,55.73%,54.02%,53.48%,54.46%,55.29%,44.36%,53.94%
meangean,54.09%,51.97%,48.85%,54.48%,55.16%,53.72%,52.66%,54.50%,52.63%,53.15%,53.92%
Harmz,57.14%,50.98%,47%,49.89%,55.66%,56.34%,52.34%,53.85%,54.83%,51.96%,53.91%
LimpinG,56.52%,57.01%,58.16%,50.31%,56.32%,55.61%,51.64%,53.47%,52.67%,50.78%,53.79%
fdeg,59.26%,54.01%,50.53%,51.38%,52.26%,54.10%,54.56%,53.15%,54.36%,55.09%,53.67%
LargeDonkey,47.25%,54%,54.54%,52.13%,56.77%,53.62%,53.50%,52.95%,52.60%,51.65%,53.59%
eperb12,45.71%,52.26%,49.11%,53.53%,53.62%,53.59%,54.43%,53.67%,52.97%,53.01%,53.56%
AgentSilentOne,53.85%,53.54%,52.90%,52.20%,55.30%,53.01%,54.66%,52.41%,52.76%,50%,53.42%
avrakk3187,61.11%,58.08%,51.91%,50.98%,52.64%,52.44%,54.20%,52.48%,52.90%,54.65%,53.39%
bobinbobcity,45.71%,47.27%,52.37%,51.87%,50.61%,53.22%,53.63%,54.60%,54.98%,53.13%,53.39%
planbkilla4,56.76%,55.46%,49.63%,48.40%,51.28%,55.13%,55.77%,51.26%,54.72%,55.66%,53.38%
Cooperhawk,52.33%,50%,54.52%,58.86%,55.85%,52.69%,51.54%,53.12%,51.36%,50.86%,53.35%
Genug,42.86%,53.49%,52.27%,51.25%,50%,52.15%,54.22%,52.49%,54.20%,51.52%,53.30%
iowafred,61.88%,58.55%,59.78%,56.10%,52.83%,53.55%,52.97%,51.26%,51.34%,48.81%,53.24%
coolmanjack,47.19%,51.77%,50.52%,48.92%,54.08%,54.98%,53.05%,55.27%,54.40%,56.02%,53.21%
rbg3,51.43%,51.81%,55.56%,52.65%,54.87%,53.24%,54.78%,54.42%,52.90%,50.45%,53.21%
ADirtyScrub,52.60%,43.48%,52.08%,47.56%,53.82%,53.83%,53.87%,51.86%,54.12%,54.63%,53.04%
TechnoD11,57.14%,52.23%,51.72%,49.84%,55.51%,52.30%,52.34%,52.87%,52.22%,54.07%,52.86%
__Prophet__,52.27%,54.65%,51.09%,51%,52.96%,52.21%,53.67%,53.52%,51.87%,52.35%,52.82%
Flayologist,60.62%,53.23%,50.63%,49.55%,51.83%,54.36%,52.47%,53.80%,51.86%,51%,52.80%
bigmacx10x,58.99%,50.44%,48.84%,50%,50.35%,54.94%,54.95%,53.72%,52.35%,51.40%,52.77%
Heldar,48.75%,51.06%,47.63%,53.04%,53.36%,52.33%,52.67%,53.26%,53.37%,51.22%,52.69%
Enchilada,70%,60%,54.39%,55.07%,56.64%,57.21%,53.19%,52.08%,52.92%,49.91%,52.58%
wunahokalugi,56%,50.89%,52.62%,51.88%,55.09%,52.37%,53.27%,51.65%,51.77%,51.34%,52.47%
BLCowboy6,42.86%,50%,46.01%,47.84%,50.90%,50.05%,55.52%,54.27%,55.76%,45.85%,52.46%
Uzziel1,50%,45.11%,50.63%,49.92%,50.12%,51.91%,54.14%,52.96%,54.18%,51.21%,52.40%
Chris65450,61.29%,52.72%,51.27%,48.55%,51.20%,51.37%,55.36%,59.45%,50.44%,0%,52.32%
dewstah,53.33%,51.52%,49.79%,54.72%,51.37%,50.98%,50.47%,52.51%,53.20%,52.99%,52.28%
kingmeofme,57.14%,54.31%,48.66%,47.87%,48.41%,54.95%,50.29%,52.83%,53.32%,50.48%,52.26%
_Xpozed_,41.84%,51.53%,52.50%,52.42%,49.93%,52.35%,51.03%,53.43%,51.63%,52.41%,52.14%
Blaze_Tanker_Man,48.60%,48.99%,50.42%,52.35%,51.46%,52%,52.33%,54.34%,52.80%,52.61%,52.13%
mewho,51.35%,45.15%,50.25%,50.96%,51.05%,53.47%,54.49%,52.54%,52.45%,51.69%,52.11%
FastRedHorse,41.18%,43.73%,50.18%,54.11%,55.20%,52.86%,51.98%,53.29%,49.26%,47.13%,51.95%
Edge_of_Insanity,43.96%,51.38%,52.71%,49.35%,51.62%,51.82%,50.08%,52.08%,55.27%,51.19%,51.90%
Pitch_Black,34.15%,49.08%,48.90%,48.42%,52.75%,51.97%,51.02%,52.83%,53.87%,47.49%,51.83%
_AjaxSkord_,60%,42.62%,49.35%,46.01%,48.86%,53.14%,54.55%,51.46%,53.38%,50.57%,51.83%
carbine15,54.70%,54.02%,53.93%,51.96%,52.25%,52.15%,51.35%,49.86%,50.73%,48.26%,51.72%
TheOnlyRazerHail,92.31%,53.21%,49.88%,50.89%,50.90%,48.31%,50.63%,53.54%,53.06%,51.19%,51.56%
gaunt428,52.41%,56.57%,52.33%,53.63%,54.37%,51.67%,50.20%,51.23%,48.72%,48.49%,51.44%
Rkk1945,45.32%,50.45%,49.57%,48.48%,51.63%,54.35%,52.19%,50.49%,52%,48.30%,51.37%
4khan,35.29%,44.71%,47.54%,47.31%,51.47%,51.99%,55.47%,47.53%,53.75%,47.33%,51.27%
3rdguards,35%,51.84%,52.91%,53.18%,51.39%,52.56%,50.28%,50.75%,51%,50.26%,51.25%
Rhadamanthuz,47.10%,51.13%,49.62%,51.50%,52.93%,52.05%,51.88%,51.35%,49.82%,50.39%,51.20%
Nivar,42.55%,45.50%,45.80%,47.14%,48.90%,49.55%,52.61%,53.66%,53.13%,50.80%,51.13%
xAzDKr,55.97%,52.63%,50.56%,47.85%,51.21%,49.06%,51.03%,51.96%,52.15%,51.19%,51.13%
Willster419,51.72%,53.02%,54.43%,49.37%,55.19%,51.07%,50.03%,50.12%,47.42%,47.55%,51.02%
Xalpha_damageX,60%,34.43%,50.90%,43.64%,51.77%,54.20%,53.35%,52.21%,50.16%,48.68%,51%
BushidoPhoto,47.54%,57.04%,52.36%,52.26%,48.71%,53.22%,55.04%,50.65%,49.65%,49.20%,50.99%
slayer4041,46.97%,48.78%,54.11%,50%,52.44%,51.84%,50.98%,51.76%,55.95%,49.28%,50.81%
g_shock38,46.13%,50.09%,53.07%,47.84%,51.90%,50.27%,49.10%,50.29%,52.89%,49.38%,50.38%
DocRoc,27.27%,44.88%,50.09%,46.82%,51.49%,48.99%,52.84%,51.92%,51.54%,49.75%,50.30%
HalfDeadTuT,44.87%,41.70%,48.24%,49.93%,54.14%,51.36%,50.95%,50.70%,48.64%,44.61%,50.24%
Nateeight,50%,55.76%,48.34%,44.59%,51.02%,51.57%,48.96%,51.54%,47.65%,48.60%,50.21%
Relentless27,53.16%,49.57%,54.57%,49.29%,50.31%,50.57%,49.08%,49.34%,48.93%,51.82%,49.92%
Ibkillenu2,57.14%,50.79%,48.13%,54.37%,50.90%,50.39%,49.92%,50.78%,50.03%,49.24%,49.91%
